match_date,Winners
4/19/2016,FAZE
4/19/2016,MOUSESPORTS
4/19/2016,MOUSESPORTS
4/17/2016,NIP
4/17/2016,NATUS VINCERE
4/16/2016,NIP
4/16/2016,ENVY
4/14/2016,ENVY
4/14/2016,NIP
4/13/2016,VIRTUS.PRO
4/13/2016,DIGNITAS
4/13/2016,MOUSESPORTS
4/13/2016,ENVY
4/12/2016,TEMPO STORM
4/12/2016,VIRTUS.PRO
4/12/2016,DIGNITAS
4/12/2016,CLG
4/12/2016,MOUSESPORTS
4/11/2016,GAMBIT
4/10/2016,DIGNITAS
4/10/2016,ENVY
4/10/2016,DIGNITAS
4/10/2016,ASTRALIS
4/9/2016,G2
4/8/2016,MOUSESPORTS
4/7/2016,DIGNITAS
4/7/2016,GAMBIT
4/7/2016,DIGNITAS
4/7/2016,GAMBIT
4/7/2016,NIP
4/7/2016,NIP
4/7/2016,E-FRAG.NET
4/6/2016,DIGNITAS
4/6/2016,HELLRAISERS
4/3/2016,LUMINOSITY
4/2/2016,LUMINOSITY
4/2/2016,NATUS VINCERE
4/2/2016,LUMINOSITY
4/1/2016,LIQUID
4/1/2016,ASTRALIS
4/1/2016,NATUS VINCERE
4/1/2016,VIRTUS.PRO
3/31/2016,FNATIC
3/31/2016,NIP
3/30/2016,NATUS VINCERE
3/30/2016,ASTRALIS
3/30/2016,LIQUID
3/30/2016,LUMINOSITY
3/30/2016,G2
3/30/2016,MOUSESPORTS
3/29/2016,VIRTUS.PRO
3/29/2016,NATUS VINCERE
3/29/2016,CLG
3/29/2016,LIQUID
3/29/2016,LUMINOSITY
3/25/2016,E-FRAG.NET
3/23/2016,NIP
3/23/2016,NIP
3/23/2016,FNATIC
3/23/2016,FNATIC
3/23/2016,CLG
3/22/2016,DIGNITAS
3/22/2016,DIGNITAS
3/22/2016,SK
3/22/2016,FLIPSID3
3/21/2016,FLIPSID3
3/21/2016,CLOUD9
3/20/2016,LIQUID
3/20/2016,LIQUID
3/20/2016,ASTRALIS
3/20/2016,ASTRALIS
3/20/2016,LIQUID
3/20/2016,NATUS VINCERE
3/20/2016,FLIPSID3
3/20/2016,FLIPSID3
3/19/2016,LUMINOSITY
3/19/2016,CLOUD9
3/19/2016,LUMINOSITY
3/19/2016,CLG
3/19/2016,FNATIC
3/19/2016,FNATIC
3/19/2016,MOUSESPORTS
3/19/2016,MOUSESPORTS
3/18/2016,TEMPO STORM
3/18/2016,NATUS VINCERE
3/18/2016,NATUS VINCERE
3/18/2016,LUMINOSITY
3/18/2016,CLOUD9
3/18/2016,LIQUID
3/17/2016,RENEGADES
3/17/2016,G2
3/17/2016,G2
3/17/2016,NATUS VINCERE
3/16/2016,CLOUD9
3/16/2016,CLOUD9
3/16/2016,FNATIC
3/16/2016,NIP
3/16/2016,DIGNITAS
3/16/2016,G2
3/15/2016,NATUS VINCERE
3/15/2016,NATUS VINCERE
3/14/2016,MOUSESPORTS
3/13/2016,MOUSESPORTS
3/13/2016,FNATIC
3/13/2016,G2
3/13/2016,G2
3/12/2016,G2
3/12/2016,VIRTUS.PRO
3/12/2016,ENVY
3/12/2016,ASTRALIS
3/10/2016,NATUS VINCERE
3/10/2016,NATUS VINCERE
3/10/2016,ENVY
3/10/2016,ENVY
3/9/2016,G2
3/9/2016,G2
3/9/2016,NIP
3/9/2016,NIP
3/8/2016,ASTRALIS
3/8/2016,ASTRALIS
3/5/2016,FNATIC
3/4/2016,FNATIC
3/4/2016,LUMINOSITY
3/4/2016,FNATIC
3/3/2016,E-FRAG.NET
3/3/2016,VIRTUS.PRO
3/3/2016,VIRTUS.PRO
3/3/2016,ASTRALIS
3/3/2016,ENVY
3/3/2016,ASTRALIS
3/3/2016,VIRTUS.PRO
3/3/2016,ASTRALIS
3/3/2016,ASTRALIS
3/3/2016,FAZE
3/2/2016,FNATIC
3/2/2016,NIP
3/2/2016,LUMINOSITY
3/2/2016,NATUS VINCERE
3/2/2016,FNATIC
3/2/2016,NATUS VINCERE
3/2/2016,LUMINOSITY
3/2/2016,LUMINOSITY
3/2/2016,MOUSESPORTS
2/28/2016,CLOUD9
2/27/2016,LIQUID
2/27/2016,CLOUD9
2/27/2016,CLG
2/27/2016,G2
2/27/2016,RENEGADES
2/26/2016,MOUSESPORTS
